城市,评论,昵称,性别,评分,观影时间
石狮,精彩，刺激，好看,unI857139189,0,5,2018-10-09 22:12
成都,好看，是真好看,刘科922,1,5,2018-10-09 22:12
建德,不错，可以的,沧桑感1,1,5,2018-10-09 22:11
天津,很喜欢，主要有发哥，再是剧情,侑你一生,1,4,2018-10-09 22:11
深圳,很完美，算是发哥最近几年最出彩的电影了，郭天王演技在线，张静初好漂亮，演技不错！全篇环环相扣，不注意看会晕头转向，哈哈，值回票价！,cike0916,1,5,2018-10-09 22:11
郸城,剧情很精彩 推荐看无双,L十一Y,0,5,2018-10-09 22:11
衡山县,发哥还是那个发哥，完美演绎。,pqU149950372,0,5,2018-10-09 22:11
琼海,呵呵呵还好还好,四海为家只为等你,0,5,2018-10-09 22:11
诸暨,好久没有看发哥的电影了，还是那么酷哈哈,陈13867598725,2,4,2018-10-09 22:10
京山,不看到最后都不知道结局,snN56245978,0,4.5,2018-10-09 22:10
合肥,剧情紧凑，可以，蛮烧脑,义城小孩,0,4.5,2018-10-09 22:10
石柱,爱情可以让人拥有一往无前的勇气和动力，也有可能成为最终的坟墓。所以啥时候爱情能找上我呀！！！！？,Madao一只,0,5,2018-10-09 22:10
天津,看不懂，不知道啥意思,tAI514374912,2,2,2018-10-09 22:10
黄石,看到最后才明白，还不错,依笑LLHRLEI1010,2,4.5,2018-10-09 22:10
大连,剧情反转，幸好自己智商还行,KHI270951155,0,5,2018-10-09 22:10
长沙,不爱看，做好事,安静ting！,2,0.5,2018-10-09 22:09
宜昌,大反转，说故事,TXFMT2013,0,5,2018-10-09 22:09
红河,好看，发哥一如既往的帅气！,sTQ911522635,0,5,2018-10-09 22:09
武汉,没看明白需要看影评,McP307067093,0,3,2018-10-09 22:09
都江堰,剧情结尾有点意想不到,宇过添情636,1,4,2018-10-09 22:09
南宁,翻转结尾，演技超棒，剧情和制作都非常好,VmQ127510879,0,4.5,2018-10-09 22:08
东莞,很精彩，一直喜欢发哥,爱你30天408,1,5,2018-10-09 22:08
广州,好看，发哥超级棒！,ljj940115,0,5,2018-10-09 22:08
长兴,剧情抄袭看不见的客人，还抄个不伦不类，***讲故事,陈超杰ccj,0,0.5,2018-10-09 22:07
桂林,一般吧，不是很好看,M丶明明呀,1,4,2018-10-09 22:07
如皋,故事情结环环相扣，扣人心弦……，周的演技真不是盖的张弛有度👍👍👍郭也演得挺棒的，廖不亏了黄金配角丝毫不逊色他俩👍,rtO851904924,0,4.5,2018-10-09 22:07
开封,"二刷！巨幕厅！爽的嘞！
尽管二刷反转还是刺激得汗毛竖起！
发家致富！小画家改行小作家吧嘿嘿嘿

最后之夜真•送命题😂 😂 😂 ",河粉荼靡,0,5,2018-10-09 22:06
京山,还可以吧，有反转…,顾小陌y15,2,4,2018-10-09 22:06
淮南,国产剧有进步,gMP620139253,1,4,2018-10-09 22:06
杭州,从头到尾的套路，厉害了，非常棒，结局牛市让人意想不到赞,pRD634326073,0,4.5,2018-10-09 22:06
重庆,"前面的回忆阮文部分是假的，后面才是真的
反转来的太快了
整体剧情就一个，团队是怎么造假钱的",NTM726131150,0,4,2018-10-09 22:06
黄冈,很久没有看到这么熟悉的港片味道了，发哥又是小马哥附体了。,胡浩1199,1,5,2018-10-09 22:05
苏州,烧脑。逻辑缜密，真的是一部不可多得的好作品,Pbg245745864,0,5,2018-10-09 22:05
呼和浩特,很好看，发哥就是发哥,OOG834439212,0,5,2018-10-09 22:05
常州,没太看明白。,wangfeng892,1,4.5,2018-10-09 22:05
沈阳,周润发太帅了，男女通杀啊,ZZr929995536,0,5,2018-10-09 22:04
郑州,就是一个故事！,j勇往直前,0,4,2018-10-09 22:04
沂水,因为我没有看懂！快睡着了，隔壁困的爆米花都撒了,NJr732623870,0,3,2018-10-09 22:03
济宁,发哥威武！！,axQ204647320,0,5,2018-10-09 22:03
灵宝,结局还不错 反转的很棒,DEWU_,0,4.5,2018-10-09 22:03
苏州,画家的结尾有点含糊了,GdW852087221,0,3.5,2018-10-09 22:02
苏州,"真好看！李问就是画家，他和鑫叔是院文的邻居，在旁边做假钞。
       这电影为啥起""无双″这个名字？李问说得话中的画家其实是不存在的，所以叫《无双》。",woibaobao,0,5,2018-10-09 22:02
四平,看的不是很懂诶,YMp300365789,2,4.5,2018-10-09 22:02
上海,挺好看的一直喜欢周润发的电影,sun425715222,0,5,2018-10-09 22:02
南阳,周润发真的老了，不过还是不错的,Bsa494439824,0,4.5,2018-10-09 22:02
诸暨,没尿点，剧本不行，发哥演的反派不错，演的警察很怂,JJC868246685,0,2.5,2018-10-09 22:02
东莞,男主角女主角完全可以逃跑，为什么要自杀呢？估计是正能量的效果罢了,Juj681354391,0,5,2018-10-09 22:01
即墨,我感觉结尾有点着急了。不过有句话挺经典。我拿你当兄弟，你拿枪指着我。,美好生活209,1,3.5,2018-10-09 22:01
丰城,好看好看好看！越来越喜欢张静初,chauncey244,2,5,2018-10-09 22:00
长沙,很不错的电影，,LDd687804399,0,5,2018-10-09 22:00
南京,男神风采依旧,烟霏露结,2,5,2018-10-09 22:00
长春,挺好看 挺好看挺好看,aJs544421253,0,5,2018-10-09 22:00
杭州,一般般，不好看,king娇,0,3,2018-10-09 22:00
东营,比较烧脑！到最后才揭晓全剧！难得一见的好作品。只是对于人性的记录还不够深切洞彻。情节紧张连续，无尿点。哈～,efs674378531,0,5,2018-10-09 21:59
南昌,跟妹妹一起看的，很开心。,wFI313202670,0,5,2018-10-09 21:59
广州,值得一看，剧情和演技都炸裂，不能说是完美，还是有点瑕疵。,易太阳592,1,5,2018-10-09 21:59
长春,很好的剧本，前面留疑点，设悬念。后面解开谜底，高潮迭起。发哥，郭天王，张静初的精彩演技，近几年最好的警匪悬疑片，没有之一。,abV521679937,0,4.5,2018-10-09 21:59
泰安,发哥演技真的没得说，老男人更有味儿了！剧情很不错，虽然也有不太合逻辑的地方，但是它就是好看啊哈哈哈哈！,Qbh694300671,2,5,2018-10-09 21:58
北京,蒙圈了，咋回事，画家是哪个,NiL680657732,0,5,2018-10-09 21:58
杭州,推荐推荐，非常好看的一部电影，发哥拍的影片一向都很好看,背后的犯贱,0,5,2018-10-09 21:58
杭州,发觉内容很一般,DsI912411,2,4,2018-10-09 21:57
嘉兴,很好看，支持发哥,Gene龚,1,5,2018-10-09 21:57
鹰潭,真的不咋地啊,多多9583,1,0.5,2018-10-09 21:57
泰州,感觉天才的脑回路就是不一样！,刘鸿鈞,0,4.5,2018-10-09 21:57
恩施,剧本不错，佳作,江山1988,0,4.5,2018-10-09 21:57
十堰,挺棒的！！！,神功无敌,0,5,2018-10-09 21:57
兴安盟,值得一看。非常不错。,vJk359889257,0,5,2018-10-09 21:56
邵阳,好看，后面一个大反转，精彩,杨9024,2,5,2018-10-09 21:56
上海,反转的太漂亮了,LLY101826512,1,5,2018-10-09 21:56
阳泉,剧情的反转很大很多，也让人能看进去，香港的警匪犯罪系列果然名不虚传,mo花酱,2,4.5,2018-10-09 21:56
上海,烧脑，不错，发哥最帅~,ImK618811787,0,5,2018-10-09 21:56
德阳,层次乱七八糟，看不懂！,PU2001MAIL,0,3,2018-10-09 21:56
石家庄,大反转猝不及防,哈塞哈塞。,1,4.5,2018-10-09 21:56
漯河,"《无双》最后的反转对电影的升华相当于《致命ID》。
故事剧情直接从：误入歧途的潦倒少年，一步错 步步错，靠女神保释辩白真相，终见天日。反转为一个伪钞*丝对隔壁女神的终极幻想，发奋努力，制伪成功，被捕后通过编造“画家替身”和被“女神替身”保释，逃出生天，但“女神替身”不甘为替身最后选择同归于尽。
末了警察问真女神认识男主吗？女神淡淡答道：当年住在我家隔壁。",幻月千本樱,2,4.5,2018-10-09 21:55
顺德,还可以。。。,Jst262135559,0,4.5,2018-10-09 21:55
武汉,一般吧！最后反转得有些勉强，发哥的演技还在，郭富城演的一般，所以反转的有些生硬,mt402888258,0,3,2018-10-09 21:55
石家庄,好好学习天天向上,苦楚666,0,5,2018-10-09 21:54
深圳,挺不错的一场独角戏,OK蔡973,1,4.5,2018-10-09 21:54
深圳,构思精彩，有悬念。结尾亦有悬念,刘湘宁684,1,5,2018-10-09 21:54
威宁,发哥一样的帅,期待674,0,4.5,2018-10-09 21:54
东莞,非常好，一级棒！不看到最后都不知道都被骗了！发哥演技棒棒的，超级帅！！！！！帅炸了,cFc946557572,0,5,2018-10-09 21:53
武汉,近年最好看的港片 还是必须周润发 小马哥回来了 还想看一遍呢 场面精彩 扣人心弦,彼岸花637,0,5,2018-10-09 21:53
广州,反转再反转，好看,lyoncaclyn8586,1,5,2018-10-09 21:52
长沙,剧情很好，演技一流。就是看的有点头疼，发哥真的老了。,BOa440962314,0,3.5,2018-10-09 21:51
贵阳,今年看过的最好看的电影,Gbz498869239,2,5,2018-10-09 21:51
深圳,很精彩。看不懂的智商该充值了,不是吃就是喝。。,1,4.5,2018-10-09 21:51
西安,周润发身材好好 郭富城也身材好好！！！,AWx718531290,0,4.5,2018-10-09 21:51
东莞,刚开始看觉得好看!到最后居然全是郭富城想像出来！这时我觉得全部都是白看，好假！知道真相后真的没意思！里面过程不知道什么是真的！我看了感觉应好假，受骗感觉，没有什么情节值得回忆！,Asf183114147,1,0.5,2018-10-09 21:50
成都,3个旋转看得头晕眼花，,Neil4080,1,5,2018-10-09 21:50
新郑,非常好看，非常好看,yOU945386795,0,5,2018-10-09 21:50
龙游,发哥的电影永远是经典,孤独会上瘾,1,4.5,2018-10-09 21:50
安宁,这部电影真的超好看～  剧情赞  最主要的是周润发、郭富城和张静初的演技太棒啦！强烈推荐！！！,Kaola_JJ,0,5,2018-10-09 21:50
抚州,还行吧！！！,pka597295289,0,4,2018-10-09 21:50
乐清,不错   人不怎么多  座位还不错,峰哥哥在路上,1,5,2018-10-09 21:49
鞍山,剧情还可以，就是结局不太好。,SAx734324981,0,4,2018-10-09 21:49
汕头,剧情还不错，演员演技也不错，整个故事情节也不错，想得太多成疯子了,OjA287090827,0,4,2018-10-09 21:49
大连,前后铺垫挺好,w6416741,0,5,2018-10-09 21:49
广州,非常好看 发哥哥 好靓仔,pinky笨笨,2,5,2018-10-09 21:48
珠海,好看很好看，，,jgV926925976,1,4,2018-10-09 21:48
深圳,后面反转很精彩,QEv538157371,0,4.5,2018-10-09 21:48
南阳,值得去看，好电影,张海稳,1,5,2018-10-09 21:48
北京,很久没有看到发哥的电影了，很不错。,rkT938224845,0,4.5,2018-10-09 21:48
分宜,最后反转还是挺让人惊喜的，剧情不错,zip562988384,1,4.5,2018-10-09 21:48
天津,很不错！黄金档期第一名！实至名归！,lva441237732,1,5,2018-10-09 21:47
怀化,整个过程都是悬疑！就是发哥那个飞跃三连枪经典！,谈天说地478,1,4,2018-10-09 21:47
宜宾,故事很好看，反转很精彩。。,Txx497044907,1,5,2018-10-09 21:47
佛山,演技爆表！！,思恩思恩思恩思恩,2,5,2018-10-09 21:47
永川,不错的反转，虽然猜到了！,eUv827891632,0,4.5,2018-10-09 21:47
沭阳,确实可以，老戏骨，无尿点,左灯右行701,1,5,2018-10-09 21:46
永年,这电影的名字就已经提示了观众……具体的还是去电影院看吧。已经剧透了……,Xju346718600,1,5,2018-10-09 21:46
大丰,情节非常完美，完全想不到的结局,BFG130714743,1,5,2018-10-09 21:45
深圳,明明剧情片嘛,FGA663581000,0,2.5,2018-10-09 21:45
陇南,小马哥最帅！剧情就不透露了，值得一看,exK735969126,2,4,2018-10-09 21:45
桂林,不愧为港片，精彩绝伦。,hQi529798936,1,5,2018-10-09 21:44
清远,希望港片重拾辉煌，发哥真的很帅！,nGn671463205,1,4.5,2018-10-09 21:44
温岭,这电影挺好看的,caq657008287,0,4,2018-10-09 21:44
广州,发哥创造无数经典，又平易近人，接地气，怎么演大家都喜欢，这部戏郭富城也是亮点，演技入木三分。值得点赞。。。,mVt105180071,0,4.5,2018-10-09 21:44
深圳,发哥大长腿无敌，演技超自然，棒棒哒！国庆档最好看电影,zlynnlin,2,4.5,2018-10-09 21:44
重庆,重庆卢米埃像放的盗版一样居然还会卡带,_sina25921904059,1,4,2018-10-09 21:43
哈尔滨,意料之中的意外。,老井萌萌哒,0,4,2018-10-09 21:43
武汉,很不错！演的真好,OEB476497310,1,5,2018-10-09 21:43
江津,无双，名字取得平淡无奇了，应该叫《门徒2》，一个造毒，一个印假钞，都经典至极！,lEs915334263,0,5,2018-10-09 21:43
上海,这是周润发最不好看的一部电影,鲍先升,0,3,2018-10-09 21:43
南京,我是被剧透了才来看的，开头看了十几分钟完全是审视的眼光，结果看到中段就不知不觉的沉迷了，连我自己都怀疑是不是被假剧透😂 ,hFo901966361,1,4.5,2018-10-09 21:42
长沙,发哥很帅，为了发哥打个十分，其他都不满意,zhang8355,0,5,2018-10-09 21:42
遵义,结局反转，好看,daisy458,0,5,2018-10-09 21:42
重庆,剧情型烧脑片,mTo165456562,0,5,2018-10-09 21:42
襄阳,电影精彩。最后的反转也很令人意外。。总之不错，强烈推荐,TY晗,1,4.5,2018-10-09 21:42
百色,好看好看好看,Zog718570274,0,5,2018-10-09 21:42
合肥,不错的一部电影,酷奇酷奇怕辣怕辣,0,3.5,2018-10-09 21:42
宁波,好看的，没脑子的我看不完想不出结局，真的挺好看的。,刘宁宁791,2,4.5,2018-10-09 21:42
宁波,烧脑，好看!,西厢理丝桐,2,5,2018-10-09 21:42
烟台,最后一眼万年，很棒,囡囡14870,2,5,2018-10-09 21:42
桃源,不好看  感觉一直就是在回忆过去一样  没头没脑的,QGq738590912,1,2.5,2018-10-09 21:41
长春,喜欢发哥，电影也非常好，人生在世，全靠演技,eaD457976489,1,5,2018-10-09 21:40
绍兴,挺不错的，值得,gych520,1,3,2018-10-09 21:40
福州,满分啊   太牛逼了！！！,微微一笑很僵岑,1,5,2018-10-09 21:40
广州,不好看不知道说什么,nwb118173353,0,0.5,2018-10-09 21:40
菏泽,我觉得特别的好。,cas955094574,2,5,2018-10-09 21:40
哈尔滨,一般吧。发哥很帅。,仪妈754,2,3.5,2018-10-09 21:39
上海,情节曲折翻转多,Louis潘,0,4,2018-10-09 21:39
上海,很完美的一步影片,天道为先,1,5,2018-10-09 21:39
西安,好看好看好看,孑虫茕茕,0,5,2018-10-09 21:39
深圳,发哥演技太惊艳了！还是那个小马哥！,泰瑞希尔,0,5,2018-10-09 21:38
许昌,二刷准备三刷的飘过,uyJ868802898,0,5,2018-10-09 21:38
遵义,结果让人很意外，简直就是大反转,qiw164744745,0,5,2018-10-09 21:38
广州,真的完美，郭天王和发哥，发哥绝对的棒！要多一些像他们这样的演员，张静初也很美，配角也都很棒……,hBM605066825,0,5,2018-10-09 21:37
南通,从头到尾没看懂,xuyonghong2011,0,5,2018-10-09 21:37
南阳,双影帝演技在线，最有感觉是发哥双持Ak的那一段，剧情一般，反转僵硬了，之前伏笔埋藏的太少，在影片最后才插入了几个，仍然支持这部片子，我们国家电影还处于发展阶段，现在国产悬疑已经慢慢的靠近发达国家水平，希望能多多出现好的剧本好的导演，还有好的演员，不能只靠老牌影帝才给某一部电影打上演技炸裂的标签,成大事者不拘节操,1,4,2018-10-09 21:37
深圳,看的想睡觉了 总是回忆放,DrB277270440,0,3,2018-10-09 21:36
延边,发哥，郭哥，演技出色依旧，剧情好,zDW632773608,1,5,2018-10-09 21:36
连州,故事情节吸引人，表演手法也很好，值得一看,老博184,1,4.5,2018-10-09 21:35
北京,结局很出乎意料 不错,avQ787647782,0,4,2018-10-09 21:34
益阳,反转太突兀…有些情节没有交代透彻,cVO490133461,0,2.5,2018-10-09 21:34
广州,别扯什么港片已经跌下神坛了，别人稍一认真，就又能登天了。,GWB799860750,0,4.5,2018-10-09 21:34
北京,完全为了发哥看的，风采不减当年，还是那么帅，最后的反转让人措手不及。,舞狐128,2,5,2018-10-09 21:34
南阳,给个8.5分吧 虽然猜到了结局 但是演技不错,Capricorn依稀,1,4,2018-10-09 21:33
广州,看不懂。看完晕晕的,EAK485182085,0,2.5,2018-10-09 21:33
自贡,结局确实意想不到😓,dmC397514648,2,5,2018-10-09 21:33
东莞,一般般，剧情逻辑衔接的好，但这个剧情没记错是美剧里的，只是不是印钞,无言的吃,1,4,2018-10-09 21:33
许昌,香港老戏骨演技真是没的说！剧情反转～好看。,sunan1991,1,5,2018-10-09 21:32
五常市,真好，太难得的好电影了,AGw474698302,0,5,2018-10-09 21:32
张家港,"反转惊人 
发哥和郭富城的对手戏很赞 
张静初盘坐在沙发上 抽着烟 眼里绝望的眼泪很美",kpo109013156,2,5,2018-10-09 21:32
南京,个人认为是同档期中最好看的一部了……,XEr11284917,2,5,2018-10-09 21:31
黄冈,还阔以。。。。,晓柒视觉领域丶,1,4.5,2018-10-09 21:31
扬州,建议多刷几遍,氧化钙cao？,1,4.5,2018-10-09 21:31
株洲,好看，很好看,铁骑踏东洋147,1,5,2018-10-09 21:31
扬州,还行，没完全看懂,vKK760696369,0,3.5,2018-10-09 21:31
沈阳,张静初三个角色都演得非常好 发哥一如既往的帅气 演技没得说,HLd479323701,2,4.5,2018-10-09 21:31
射阳,好看✌️，脑洞大开的，但是那个自相残杀那段我真没看的懂,柯152520,2,4.5,2018-10-09 21:30
随州,垃圾，看过最垃圾的电影……,_weixin930324567,0,1,2018-10-09 21:29
北京,发哥就是发哥。没得说。,gJy361642959,0,5,2018-10-09 21:28
十堰,确实还阔以，有些出乎意料,流连忘返3768,1,5,2018-10-09 21:28
郑州,不错是不错，看不明白！,WPD987654321,0,4.5,2018-10-09 21:28
湖州,去交易假钞的场景有点像英雄本色里的场景，其余还是蛮不错的！,Jiang37717,1,4.5,2018-10-09 21:28
常州,没有想象中的那么好看,月半江楠,2,3.5,2018-10-09 21:27
深圳,这是一部完成度很高的电影。剧情的编排反转和牵扯到艺术领域，以及伪币的制造，都很让人耳目一新。影帝级的发哥还有郭富城的演出很让人惊艳，张静初感觉上刚开始练习而已，根本不是同一个等级的，而她也就是花瓶而已。整出戏的峰回路转很平均，高潮迭起值得推荐。,HFz489991722,0,4,2018-10-09 21:27
苏州,说真的，前面睡着了，有点无聊。后面慢慢理顺了才有点看点。消遣一下可以，个人觉得观赏性不高。,ezu926077553,1,4.5,2018-10-09 21:27
长治,原来发哥是配角，意想不到,a谢文东,0,5,2018-10-09 21:26
天津,拍摄的不错很喜欢,gyw481412463,1,5,2018-10-11 11:30
大庆,周润发宝刀未老 还有当年小马哥的影子  郭富城 还是老了有味道 表现得不输周润发  很好看的一部电影,yxn965371374,0,4.5,2018-10-11 11:28
东莞,好看！看了2遍,确定要我评论吗,1,5,2018-10-11 11:27
襄阳,大哥就是大哥，,生活不止是远方,1,5,2018-10-11 11:25
淮安,演技超赞！！,小米粥118,0,5,2018-10-11 11:25
信阳,喜欢周润发，演的很好,阿文lion,2,5,2018-10-11 11:23
包头,很好看，还得凑字数，真烦！！,猫喜欢阳光,0,5,2018-10-11 11:23
唐山,很棒 一直都喜欢他们,Gao最酷,0,5,2018-10-11 11:22
上海,好久没看过如此激烈的枪战片了 ，真来劲。,vOL359168130,0,3.5,2018-10-11 11:22
常州,演技满分，剧情比较容易猜,Justin姜Sir,1,5,2018-10-11 11:22
邢台,周润发、郭富城,亚利杭德罗,1,3,2018-10-11 11:22
杭州,发哥还是那么帅！,靓靓爱睡觉Kelly,2,5,2018-10-11 11:21
贵阳,剧情很棒，全程高能,动静无心,2,5,2018-10-11 11:21
长乐,好看支持发哥,优宝170,2,5,2018-10-11 11:21
呼和浩特,像碟中谍的感觉，一环扣一环，非常悬疑，不枉冲着发哥和城哥看的一部好电影。,hj淇淇,0,4.5,2018-10-11 11:20
许昌,发哥就是发哥，虚构的人物都演的这么好,马恺宏,1,5,2018-10-11 11:19
郑州,感觉蛮好看的，周润发我男神,二懒666,2,4.5,2018-10-11 11:19
乌鲁木齐,完美 太好看了,哭泣的毒物,1,5,2018-10-11 11:19
南昌,非常好看，看的得劲,liu244310770,1,5,2018-10-11 11:18
营口,太好看了，发哥永远的影帝,TZY46531775,0,5,2018-10-11 11:18
临沂,不错，有内涵有故事，值得一看,北国之春1968,1,5,2018-10-11 11:17
杭州,很好看超好看,TTP996436058,2,5,2018-10-11 11:17
上海,不是很精彩。。。。。。。,_qqs251399734711,1,3,2018-10-11 11:17
佛山,很好看的建议可以看看,EBg934953504,0,4,2018-10-11 11:16
晋城,挺好看的，剧情想到不错！,aBF359123579,0,3.5,2018-10-11 11:16
绵阳,好看，非常好看,houxin123321,2,5,2018-10-11 11:15
漳州,好看！！！发哥一如既往的帅，张静初好美啊，里面的演员个个演技在线,tpW546650318,2,4.5,2018-10-11 11:13
沈阳,这才叫演员！！这才叫电影！！！这才叫影帝！！！,yIN986341684,0,5,2018-10-11 11:12
南通,很很看，非常刺激,g小丑八怪,2,5,2018-10-11 11:12
中山,不错不错不错,荔枝ii,2,4.5,2018-10-11 11:12
鞍山,演技都相当到位。很精彩的电影,就是我777,1,5,2018-10-11 11:10
合肥,导演，编剧太装B，没那个脑回路就别装神弄鬼，学欧美高智商犯罪题材，漏洞百出,cpc793321514681,0,3,2018-10-11 11:09
杭州,情节还是可以的，场景一直是港片的那种感觉，还是挺喜欢的，演技上有几点细节演的非常好，周润发在和将军耳边说话的时候，以及面对面说话的时候，咬牙切齿但面不露色的那种神态都演出来了，很棒,穆野风,0,4.5,2018-10-11 11:09
南宁,好看，永远的发哥，反转精彩。赶紧去看吧！,vPI862338713,2,5,2018-10-11 11:09
长治,看着挺好的，好好,gnp278028346,0,4.5,2018-10-11 11:08
南通,演技太优秀了,zVh551430715,0,5,2018-10-11 11:07
成都,近年来最好看的一步港产电影，为了发哥而看。,男琒,1,5,2018-10-11 11:05
南京,发哥我最爱啊,ory241117799,2,5,2018-10-11 11:05
兰州,好看！再次辉煌的港匪片,逍遥悟道5888,0,5,2018-10-11 11:05
金坛,看一遍真的看不懂。,唐朝红梅,1,3.5,2018-10-11 11:03
东莞,反转有点懵逼，,HxX832965160,0,4,2018-10-11 11:03
胶州,超棒回味无穷☞两大男神练手果然没有让我们失望~欠你们的电影票补上哈哈~加油~希望发哥还可以拍更多电影(๑• . •๑)辛苦啦,ak小木妞子,2,5,2018-10-11 11:03
南京,发哥帅到炸裂，但是最后真的反差萌😂,uXE251028540,0,5,2018-10-11 11:02
南昌,故事、演技全部精彩，结尾出乎意料,zd1897,0,5,2018-10-11 11:02
沈阳,感觉不错！剧情很好，看着爽,颜陌默,2,4.5,2018-10-11 11:01
南宁,不错的电影值得来看,hzh7383,2,5,2018-10-11 11:01
深圳,威武霸气帅，V587帅,trj230489283,0,5,2018-10-11 11:00
武汉,又见发哥演戏 感觉很好,o0啊狼0o,1,4,2018-10-11 11:00
内江,觉得还可以吧！好看👍👍👍,幸福的生活903,2,4.5,2018-10-11 11:00
长兴,发哥的魅力四射，郭天王演技了得。港味十足！,jvxiaoyu,2,4,2018-10-11 10:59
池州,编剧有才，郭的演技真是大有提升，发哥那个吊儿郎当的演技在这里一点也不夸张，拿捏很好。我本不抱太大希望，结果让我很惊喜,肖氏亚轩,1,5,2018-10-11 10:59
宁海,剧情反转的真的让人措手不及，有点烧脑，不错,Long47123,0,4,2018-10-11 10:59
沈阳,不知道评分为什么这么高,pyu927514951,1,0.5,2018-10-11 10:58
太仓,尊重每部用心认真的作品。发哥城哥都还那么帅。,KBeast,1,5,2018-10-11 10:58
石家庄,结尾三反转，郭富城演技可以的，发哥还没老，张静初也很不错，三个演员每个人都相当于演了好几个角色,不过一介书生尔,0,4.5,2018-10-11 10:57
海口,"画家真的很聪明，原本就是他抢劫杀人做假币，但是他可以像故事一样的讲，居然毫无违和感！唯一的善念就是救了秀清，并且把她改装成了自己喜欢的样子！！女人可以为爱的人做任何事情，但是，一旦有了欺骗，尽管还爱着，但是依然会让你万劫不复！
当看到他画画居然完全是模仿，并且不差毫厘的时候，我就在想他应该就是主谋，谁没事好好的主创不做，非要模仿呢？而且剧中多次说到主角，我想人生的片场，哪怕艰难，但依然是自己的主角。只是有些东西你永远也得不到！就想画家很爱女知名画家，却不敢行动，不敢放手一搏！！有些事，还是要有灵魂才会有趣！",IvL255521430,0,4,2018-10-11 10:56
北京,港片不错，就是怎么感觉跟国产鬼故事的剧情一个套路啊……当然细节比那些烂片强出一百八十倍。发哥还是那么拉风！,KTx508014955,0,4.5,2018-10-11 10:55
益阳,反转应接不暇,AiY661775620,0,5,2018-10-11 10:54
绍兴,还好，大屏幕有点晕,取个名好难呐,0,4.5,2018-10-11 10:54
淮安,好看好好好好,kEy428328299,0,5,2018-10-11 10:53
深圳,反转不错，剧情也很好,一一EE一一,0,5,2018-10-11 10:51
北京,很好看，不错，发哥还是那么帅，郭富城演的很精彩,xiii8174,1,5,2018-10-11 10:51
遵义,还行，反转很多,密瓜不会不甜,0,3.5,2018-10-11 10:51
无锡,好看好看好看好看好看好看,MEI139767415,0,5,2018-10-11 10:50
长沙,很好，有意思,张景祥9,0,5,2018-10-11 10:50
闽侯县,挺好看的，发哥的演技不用质疑。,TpU18750746110,2,4.5,2018-10-11 10:45
常州,近几年较好的港片吧。,ｓtephy.,1,4.5,2018-10-11 10:44
辉南,结局大反转 吓一跳,迷丶兮域,2,4.5,2018-10-11 10:43
兴安盟,演员演技大赞,efV486176762,0,4,2018-10-11 10:43
宁波,看到一半就已经猜出了真相，就那么几个人，不难猜不出，脑洞还不够大,金哲8888,0,4,2018-10-11 10:43
日照,"发哥的演技真的是没话说
很好看的一部片子",Mrsboring,0,5,2018-10-11 10:42
成都,发哥好帅啊！CP真好嗑啊！虽然最后真相是假呜呜呜呜呜呜。剧情节奏都挺好的，虽然细想可能会有BUG，但总体看得很爽，以及，前面真的不是励志创业剧本吗？,m1184139976,2,5,2018-10-11 10:41
防城港,烧脑。脑子用不过来。,大王Dawang729,2,5,2018-10-11 10:41
杭州,我看不懂！这片子拍得乱七八糟的，一塌糊涂！,tvO994810365,0,1,2018-10-11 10:39
泉州,对于现在的电影来说相当不错了,wLz213934381,0,4.5,2018-10-11 10:38
青岛,出乎意料的剧情,forever199604,0,5,2018-10-11 10:37
北京,今年国庆档最好看的影片了,不吃辣的龙潇,1,4,2018-10-11 10:37
北京,每个狂徒心中都有一个主角梦，贪婪与欲望总会生悲。《无双》以李问虚构的剧情展现了伪钞的制作技术，令人大开眼界，精彩的回忆杀，最后的结局大反转，让人回味无穷，感觉还是没看明白，有种再看一遍的冲动,梨子3514,2,3.5,2018-10-11 10:36
南昌,有反转，有想法,_qq3hv1423839502,0,5,2018-10-11 10:29
大连,剧情很紧凑，演员演的很好！看到最后结局大反转，一开始都相信呢，不错的影片！,Uel44677373,2,5,2018-10-11 10:29
大理,喜欢这部影片，太好看了，转折不错，不愧是无双，真的是太好看啦，发哥里面的演技好好,繁花LOVE晗晗,1,5,2018-10-11 10:29
邯郸,发哥太有魅力了，支持发哥,吾LOVE彭于晏,1,5,2018-10-11 10:26
天津,这不就是人格分裂症嘛,刘尚辉,0,5,2018-10-11 10:25
慈溪,精彩 港片回归90年代,陈忱133,1,5,2018-10-11 10:25
无锡,发哥发哥发哥,这些年来764,1,5,2018-10-11 10:22
上海,没有想象中的精彩。,慕竹缳,2,3,2018-10-11 10:22
靖江,发哥还是那个发哥 郭富城最近几年的片一直质量在线,小短腿丫丫,2,4.5,2018-10-11 10:19
杭州,郭富城演技超一流,kWZ184107914,1,5,2018-10-11 10:18
郑州,比较烧脑 很精彩,顾沫.,2,4,2018-10-11 10:17
丽江,冲周润发来的，他都那么大岁数了还是那么帅！近期烂电影看太多了，凸显出这一部还不错！,臭狗狗_汪汪汪,2,3.5,2018-10-11 10:15
毕节,挺好看的，支持,rMy338327535,0,4.5,2018-10-11 10:14
三河,脑洞大了。我是看到快结束才看明年，但是发哥演的太棒了！但是郭富城天王的演技真是！炸！烈！太惊艳了！,SVJ139653002,0,5,2018-10-11 10:12
