城市,评论,昵称,性别,评分,观影时间
香河,还是老演员演的好。大哥动作很潇洒。,pjQ371182790,0,4.5,2018-10-01 10:13
深圳,精制的影片质量，重温港片的感觉,xlf535400,1,5,2018-10-01 10:13
博白县,全程无尿点，好看,urb475454209,0,5,2018-10-01 10:13
杭州,前面都很好！真正画家的智商让人惊叹！唯独结尾的智商太低了！不应该毁在一个女人手上的！结局还可以设计的更好些！,何志宏846,1,4.5,2018-10-01 10:13
泉州,剧情还可以，影星们逐渐年迈了。,WJZZBF,1,4,2018-10-01 10:12
长春,你發哥永远是你發哥,因为你359,2,5,2018-10-01 10:12
北京,悬疑，火爆，周润发的片子果然与众不同，有希区柯克的味道,残血飘过人间,1,5,2018-10-01 10:11
韶关,不错，精彩，太好看了,bDV846635263,1,5,2018-10-01 10:11
深圳,结局就哈哈了，周润发是个小警察,VKY162576866,1,5,2018-10-01 10:10
上海,非常好看，剧情有很多的反转，给你非常多的惊喜，发哥还是那么霸气，郭富城演技爆棚。国庆档唯一警匪动作片,xWy530366496,0,5,2018-10-01 10:09
西安,这是我看过最好看的国庆档电影，郭富城和周润发的代入感很强。完全没有一丝就是说周润发不是那个画家，我一直觉得周润发就是背后的画家！结果到最后才发现原来都是郭富城一个人自导自演是他一个人幻想出来的骗警方了一个故事，它可以把周润发的角色完美的穿在自己的生活当中，把他自己换成周润发这个角色简直演技炸裂啊！,MannerKer.,0,5,2018-10-01 10:08
长沙,真不咋地，失望,花龙点睛,1,1.5,2018-10-01 10:08
万宁,好看好看～～～,BXY781141247,2,3.5,2018-10-01 10:07
南昌,"发哥太帅，支持
很好看的一部影😘",游遍全中国,0,5,2018-10-01 10:07
惠州,好看好看好看,chenyuchuan202,1,5,2018-10-01 10:05
上海,郭富城演黑帮老大没发哥有气质,陈志祥1683,0,4,2018-10-01 10:03
合肥,整部电影节奏紧凑，两个小时没有丝毫浪费 ，演员将人物形象刻画生动，结局在意料之外情理之中~,君君15856916019,0,5,2018-10-01 10:03
哈尔滨,不错，故事情节环环相扣，精彩！,张磊510369,1,5,2018-10-01 10:02
伊川,特别喜欢这种题材的影片，两个主角演技毋庸置疑，电影的情节也设计的特别严禁，环环相扣！,LeBronDafei,1,5,2018-10-01 10:01
扬州,香港人 不要再拍了 看着这些老年人 烦,gIz497593746,0,0.5,2018-10-01 10:01
西安,史上最难看电影,YZV598549494,2,0.5,2018-10-01 10:01
江门,一般般吧，奔着发哥和天王去的,yexw518,1,4,2018-10-01 10:01
深圳,周润发，郭富城等一众演技爆棚，但是剧情胡扯一通，这编剧坑的一笔，估计是想来个标新立异，最后自己都不知道啥是啥。即便是两大天王，也撑不起这**的剧情，冲着发哥去的，他又欠我两部好电影,JVA868555100,0,1.5,2018-10-01 10:00
乌鲁木齐,真的可以呢！ 郭富城演技绝了👍🏻,ci不饱的惠惠,2,5,2018-10-01 09:59
广州,7分差不多了，,yjz874454580,1,3.5,2018-10-01 09:59
成都,流畅，而且过瘾,PSI512221723,1,4.5,2018-10-01 09:59
无为,好看，港剧回归啦。,spm2891,0,5,2018-10-01 09:58
常州,真的不错，有无间道的感觉,fys825235663,0,4.5,2018-10-01 09:58
顺德,虎头蛇尾，导演把控能力有待提高,蓝天之帆,1,2.5,2018-10-01 09:57
无锡,小马哥演技杠杠的,SYW343255102,1,5,2018-10-01 09:56
哈尔滨,垃圾狗萌萌泽,fMN534512120,0,4.5,2018-10-01 09:56
长沙,一般，看的没精神,txE677251546,2,1.5,2018-10-01 09:55
贵阳,结局意外，哈哈哈哈,kKk537942663,0,4.5,2018-10-01 09:55
邯郸,好看吗？快来写下你的感受吧~,x63241925088,1,5,2018-10-01 09:55
宁波,剧情大反转，好优秀,NIT787084056,1,4,2018-10-01 09:54
荆门,为了发哥去看的电影，还是那么帅，郭戏精也越来越有味道，剧情还行吧。,醉花荫932,2,4,2018-10-01 09:53
北京,后面20分钟看不明白 谁是谁非,zYz381425879,0,5,2018-10-01 09:53
东莞,想看老港片的这个还凑合,美食美刻ing,1,5,2018-10-01 09:52
长乐,有点烧脑，没怎么懂,sGn842367005,0,3.5,2018-10-01 09:51
福州,昨晚和朋友刚看的，在一团迷雾寻找真相，故事情节反转再反转。两大男神的双雄对决，发哥真的太酷炫了！遗憾的是，太激动忘了拍照了,Rtv304249998,2,4.5,2018-10-01 09:51
深圳,很一般噢，虽说有两个天王巨星，也不能把这片天撑起，,心痛6902,1,3,2018-10-01 09:50
苏州,看睡着了啊啊啊,JOKER19930910,0,3,2018-10-01 09:48
乐清,挺好看的，推荐,透透透心凉,1,4.5,2018-10-01 09:47
东莞,感觉还可以，值得推荐,CXu871268107,1,4.5,2018-10-01 09:47
福州,趁着国庆小长假带着家人一起去看的，缜密的思维，满分的演技，反转再反转的剧情，真的是让人忍不住拍手称快！挺值票本哒！,_qqsm51439955753,1,5,2018-10-01 09:45
上海,好看，周润发说我赌的时候笑了。。,kti548928420,0,5,2018-10-01 09:43
无锡,看看还不错。,王家阿宝1980,2,4,2018-10-01 09:43
广州,很好，起伏很大，场面也精采。,ECP545593362,1,4.5,2018-10-01 09:43
湛江,超级好看，剧情非常喜欢,番薯不好吃.,0,5,2018-10-01 09:41
桐乡,城哥的电影必须支持！祝票房大卖！,爱是全奉献,0,5,2018-10-01 09:40
武汉,发哥的又一个高峰！,张1144352098,0,5,2018-10-01 09:40
射阳,个人观点，棒极了，视觉效果很赞，结局也是让人意想不到的。发哥还是那么霸气，郭天王的犯罪片基本没让我失望过。非常值得一看！,Oph892909530,2,5,2018-10-01 09:40
开封,很不错，喜欢,linda小白菜,0,5,2018-10-01 09:40
重庆,还行，不过反转是老梗了,iyP464997917,0,3.5,2018-10-01 09:39
武汉,发哥演技还是那么好，值得一看,QNa245397523,0,4,2018-10-01 09:39
三亚,还好，挺好看的，剧情反转的不错。,子微904,2,3.5,2018-10-01 09:38
成都,还可以剧情。,林逸舟LL,2,4,2018-10-01 09:38
江门,剧情大反转哈哈,叼你老尾,1,3.5,2018-10-01 09:38
石家庄,无论是剧情还是周润发与郭富城的对手戏都非常出彩 特别是周润发 太出彩了,MqX633476431,0,5,2018-10-01 09:37
南京,发哥还是帅啊,gengguowei96,1,4,2018-10-01 09:37
宜春,很值得看的一部片子 其实还是冲着发哥来的😂,OXS764070788,0,5,2018-10-01 09:37
武汉,假的比真的还真，完美,恭腰精,2,5,2018-10-01 09:36
济南,巨好看，发哥还是一如既往地帅哈哈！！！,凉菜叔叔,1,5,2018-10-01 09:36
邯郸,不错，.........,美18630005956,1,4,2018-10-01 09:36
北京,一般般，老套路。都能猜到。,around1999,1,3,2018-10-01 09:36
孝感,电影还不错思路，反转有点大,eNH602177182,1,4,2018-10-01 09:35
伊川,非常不错的一部电影  很好看  周润发好帅  好帅  太帅了  怎么可以这么帅  郭富城也好帅  好帅啊！ 都没有我旁边那个帅   我旁边一男的超帅  ！,CxF958454485,2,5,2018-10-01 09:34
北京,发哥演技非常好，演的很棒,cmdyg.,0,5,2018-10-01 09:34
合肥,很不错的一部电影，结局也很让人意外，哈哈，总感觉这样的人如果真的有了爱情，会害了自己,浮动如影半生,1,5,2018-10-01 09:34
忻州,郭富城配上周润发只能饰演这种角色,aty13994133166,0,5,2018-10-01 09:33
长沙,"讲真 
一句话概括~
不能干掉一支专业军队和绑架的抢劫犯不是好的印假钞团队",北北蘑菇,2,3.5,2018-10-01 09:33
哈尔滨,还不错，最后结尾成整部作品的高潮了。,坐马桶只为了消愁,1,4.5,2018-10-01 09:33
吉林,发哥还是发哥，太帅了,北风7115,0,4,2018-10-01 09:33
荥阳,到底哪个是真，哪个是假啊？可惜我要刷第二遍了，很费脑子，一环套一环，演员阵容很强大，演技都很棒。,小小娣w,2,5,2018-10-01 09:32
乌海,整体有些浮夸！过于夸张！主线很乱！也不知道要讲什么意思哈哈哈哈,露丝冰冰柠檬,0,3,2018-10-01 09:32
重庆,很好，剧情想不到，很有意思的设计,****CEO,1,5,2018-10-01 09:31
阜宁,看着真过瘾，强烈推荐,越做越爱.,0,5,2018-10-01 09:31
乌鲁木齐,周润发和郭富城的搭配，再加上女神张静初的表演，整部电影都很有看头儿，香港电影里不错的动作片犯罪片。,LoveDylan,1,5,2018-10-01 09:31
东阳,看的打瞌睡。,选择1984,1,2.5,2018-10-01 09:30
瑞安,两个演技表演棒,lkS595304708,1,4.5,2018-10-01 09:29
常州,对于金钱的钞票我们永无止境，把美元解析的细致透彻是为了造出第二个自己，超高级的犯罪针对思想也是绝无仅有，欲望越高越危险，这一次的前所未有一直到最后都是谜团重重，很有新意。回忆式的段落把每个情节都代入其中，真实身份让人意想不到，故事逐步递进，前面略微平淡，越往后越精彩，尤其是最后20分钟的大逆转，令人惊叹！另外，枪战像是对小马哥的致敬！,星之在处,2,4.5,2018-10-01 09:29
重庆,支持发哥，发哥无与伦比,iAE536917345,0,5,2018-10-01 09:28
上海,不错的剧情，郭富城的演技真的是越来越好了，真的是天王。发哥老了，怀念,巴丁格190,1,4.5,2018-10-01 09:28
巩义,真是超级大骗，剧情大反转,清丶夜,0,4.5,2018-10-01 09:28
盘锦,很好看，演技在线！,一诸恶莫作一,1,5,2018-10-01 09:28
漳州,怎么说呢！这部电影里面很多都是假的，到最后才知道一切都是郭富城饰演的李问所编造出来的啊，还是很有戏剧性的，觉得反转性很大，给人以惊喜,傻只能你喊,0,5,2018-10-01 09:27
合肥,有点好看的吧,罗梦晗1,0,5,2018-10-01 09:27
珠海,讲老实话真系好睇的。值得一睇。,poonsching1115,0,5,2018-10-01 09:27
武汉,非常喜欢，非常满意,amn335428931,0,5,2018-10-01 09:25
哈尔滨,非常好的电影，结局让人意想不到，绝对国产片的经典，强烈推荐大家去看！,pYz763558612,0,5,2018-10-01 09:24
化州,真不错！小马哥,麦迪表哥,0,5,2018-10-01 09:24
广州,"很难懂吗？城城是最终的大boss 
李问本身就是一个人生不如意的loser 什么张静初都是他YY成他的女友  总之最后结局就是反转再反转  要第一次看到最后才有那种恍然大悟的感觉",Auv13434152022,2,4,2018-10-01 09:22
潜江,回味金典，值得一看,liukangzhi123,0,5,2018-10-01 09:22
上海,可以不错挺好的,零度温暖gg,0,4.5,2018-10-01 09:22
遵义,国庆终于看到了意料之外的电影，也是国庆节唯一能看的一部！,uOH630399705,0,4.5,2018-10-01 09:22
孝感,不好看，完全看不懂,fGZ711473455,0,0.5,2018-10-01 09:22
广州,结局很出人意料,afU221754445,1,4,2018-10-01 09:22
无锡,冲着发哥去看的，还可以吧！,Ixb751701108,1,4,2018-10-01 09:21
宣城,谨慎、重情重义的少爷，顾虑又有些危机感的李问。。。,VsT149181340,0,4.5,2018-10-01 09:20
